罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,長洲１丁目,2022-08-28,22,道路上,女性,20歳代,あり
窃盗,ひったくり,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,長洲１丁目,2022-09-17,20,道路上,女性,40歳代,あり
窃盗,ひったくり,千葉中央,本町交番,121011,千葉県,千葉市中央区,中央１丁目,2022-06-18,00,道路上,女性,20歳代,あり
窃盗,ひったくり,千葉中央,本町交番,121011,千葉県,千葉市中央区,中央１丁目,2022-08-07,00,道路上,女性,50歳代,あり
窃盗,ひったくり,習志野,京成津田沼駅前交番,122165,千葉県,習志野市,津田沼６丁目,2022-11-29,17,道路上,男性,70歳以上,なし
窃盗,ひったくり,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2022-07-02,00,道路上,女性,20歳代,なし
窃盗,ひったくり,習志野,藤崎交番,122165,千葉県,習志野市,藤崎２丁目,2022-07-02,01,道路上,女性,50歳代,なし
窃盗,ひったくり,船橋,宮本交番,122041,千葉県,船橋市,宮本１丁目,2022-05-26,00,道路上,女性,20歳代,なし
窃盗,ひったくり,船橋,緑台交番,122041,千葉県,船橋市,金杉７丁目,2022-10-13,16,その他,女性,70歳以上,なし
窃盗,ひったくり,船橋,緑台交番,122041,千葉県,船橋市,金杉台２丁目,2022-01-24,19,道路上,女性,40歳代,あり
窃盗,ひったくり,船橋,船橋駅前交番,122041,千葉県,船橋市,本町３丁目,2022-05-24,01,道路上,女性,20歳代,あり
窃盗,ひったくり,船橋,西船橋駅前交番,122041,千葉県,船橋市,西船６丁目,2022-12-13,03,道路上,女性,65-69歳,なし
窃盗,ひったくり,市川,国府台交番,122033,千葉県,市川市,市川３丁目,2022-05-18,22,道路上,女性,50歳代,あり
窃盗,ひったくり,市川,国府台交番,122033,千葉県,市川市,市川３丁目,2022-08-01,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,市川,大洲交番,122033,千葉県,市川市,市川南３丁目,2022-08-01,00,道路上,女性,20歳代,なし
